Time,cs:altitude_agl,cs:altitude_amsl,cs:ground_elevation,cs:ground_speed_x,cs:ground_speed_y,cs:ground_speed_z,fc:altitude_raw,fc:control_mode,fc:course,fc:downlink_present,fc:gcs_link_quality,fc:ground_speed,fc:heading,fc:home_latitude,fc:home_longitude,fc:is_armed,fc:latitude,fc:longitude,fc:main_current,fc:main_voltage,fc:pitch,fc:rc_link_quality,fc:remaining_power_level,fc:roll,fc:satellite_count,fc:takeoff_latitude,fc:takeoff_longitude,fc:uplink_present,fc:vertical_speed,gb:heading,gb:pitch,gb:roll
2018-04-19T16:02:01.892,-0.5341487526893616,0.3569096326828003,0.8910583853721619,0.0,0.0,-0.0,0.0,0.0,269.99999969147996,true,1.0,0.0,-63.79999992709786,56.976749025189164,24.07383025023125,false,56.976631216586526,24.073917164443465,1.214,15.599,17.599999979889066,1.0,0.6,-5.6999999934868,0.0,56.976749025189164,24.07383025023125,true,-0.0,-57.299999171585746,-16.60000036250146,0.0
2018-04-19T16:02:01.954,-0.5341487526893616,0.3569096326828003,0.8910583853721619,0.0,0.0,-0.0,0.0,0.0,269.99999969147996,true,1.0,0.0,-63.79999992709786,56.976749025189164,24.07383025023125,false,56.976631216586526,24.073917164443465,1.214,15.599,17.599999979889066,1.0,0.6,-5.6999999934868,0.0,56.976749025189164,24.07383025023125,true,-0.0,-58.40000145914717,-16.60000036250146,0.0
2018-04-19T16:02:02.485,-0.5341487526893616,0.3569096326828003,0.8910583853721619,0.0,0.0,-0.0,0.0,0.0,269.99999969147996,true,1.0,0.0,-63.49999992744066,56.976749025189164,24.07383025023125,false,56.976631216586526,24.073917164443465,1.214,15.599,15.399999982402932,1.0,0.6,-4.8999999944009325,0.0,56.976749025189164,24.07383025023125,true,-0.0,-59.09999840658949,-16.60000036250146,0.0
2018-04-19T16:02:02.485,-0.5341487526893616,0.3569096326828003,0.8910583853721619,0.0,0.0,-0.0,0.0,0.0,269.99999969147996,true,1.0,0.0,-63.2999999276692,56.976749025189164,24.07383025023125,false,56.976631216586526,24.073917164443465,1.214,15.599,14.499999983431332,1.0,0.6,-4.599999994743733,0.0,56.976749025189164,24.07383025023125,true,-0.0,-59.09999840658949,-16.60000036250146,0.0
2018-04-19T16:02:02.485,-0.5341487526893616,0.3569096326828003,0.8910583853721619,0.0,0.0,-0.0,0.0,0.0,269.99999969147996,true,1.0,0.0,-63.099999927897734,56.976749025189164,24.07383025023125,false,56.976631216586526,24.073917164443465,1.214,15.599,14.6999999832028,1.0,0.6,-4.599999994743733,0.0,56.976749025189164,24.07383025023125,true,-0.0,-59.09999840658949,-16.60000036250146,0.0
2018-04-19T16:02:02.657,-0.5341487526893616,0.3569096326828003,0.8910583853721619,0.0,0.0,-0.0,0.0,0.0,269.99999969147996,true,1.0,0.0,-62.999999928012,56.976749025189164,24.07383025023125,false,56.976631216586526,24.073917164443465,1.214,15.599,15.2999999825172,1.0,0.6,-4.7999999945152,0.0,56.976749025189164,24.07383025023125,true,-0.0,-59.09999840658949,-16.60000036250146,0.0
2018-04-19T16:02:02.782,-0.5341487526893616,0.3569096326828003,0.8910583853721619,0.0,0.0,-0.0,0.0,0.0,269.99999969147996,true,1.0,0.0,-62.999999928012,56.976749025189164,24.07383025023125,false,56.976631216586526,24.073917164443465,1.214,15.599,15.2999999825172,1.0,0.6,-4.7999999945152,0.0,56.976749025189164,24.07383025023125,true,-0.0,-59.49999993201133,-16.60000036250146,0.0
2018-04-19T16:02:02.907,-0.5341487526893616,0.3569096326828003,0.8910583853721619,0.0,0.0,-0.0,0.0,0.0,269.99999969147996,true,1.0,0.0,-62.89999992812626,56.976749025189164,24.07383025023125,false,56.976631216586526,24.073917164443465,1.214,15.599,15.699999982060133,1.0,0.6,-4.7999999945152,0.0,56.976749025189164,24.07383025023125,true,-0.0,-59.49999993201133,-16.60000036250146,0.0
2018-04-19T16:02:03.126,-0.5341487526893616,0.3569096326828003,0.8910583853721619,0.0,0.0,-0.0,0.0,0.0,269.99999969147996,true,1.0,0.0,-62.79999992824053,56.976749025189164,24.07383025023125,false,56.976631216586526,24.073917164443465,1.214,15.599,16.09999998160307,1.0,0.6,-4.8999999944009325,0.0,56.976749025189164,24.07383025023125,true,-0.0,-59.49999993201133,-16.60000036250146,0.0
2018-04-19T16:02:03.188,-0.5341487526893616,0.3569096326828003,0.8910583853721619,0.0,0.0,-0.0,0.0,0.0,269.99999969147996,true,1.0,0.0,-62.79999992824053,56.976749025189164,24.07383025023125,false,56.976631216586526,24.073917164443465,1.214,15.599,16.09999998160307,1.0,0.6,-4.8999999944009325,0.0,56.976749025189164,24.07383025023125,true,-0.0,-59.79999916872908,-16.60000036250146,0.0
2018-04-19T16:02:03.251,-0.5341487526893616,0.3569096326828003,0.8910583853721619,0.0,0.0,-0.0,0.0,0.0,269.99999969147996,true,1.0,0.0,-62.69999992835479,56.976749025189164,24.07383025023125,false,56.976631216586526,24.073917164443465,1.214,15.599,17.799999979660534,1.0,0.6,-5.399999993829601,0.0,56.976749025189164,24.07383025023125,true,-0.0,-59.79999916872908,-16.60000036250146,0.0
2018-04-19T16:02:03.485,-0.5341487526893616,0.3569096326828003,0.8910583853721619,0.0,0.0,-0.0,0.0,0.0,269.99999969147996,true,1.0,0.0,-62.89999992812626,56.976749025189164,24.07383025023125,false,56.976631216586526,24.073917164443465,1.214,15.599,19.7999999773752,1.0,0.6,-5.999999993144,0.0,56.976749025189164,24.07383025023125,true,-0.0,-59.79999916872908,-16.60000036250146,0.0
